timestamp,signal_encoded,confidence
2026-01-01 00:00:00,2,77
2026-01-01 01:00:00,0,52
2026-01-01 02:00:00,2,41
2026-01-01 03:00:00,1,83
2026-01-01 04:00:00,2,45
2026-01-01 05:00:00,1,87
2026-01-01 06:00:00,0,62
2026-01-01 07:00:00,1,66
2026-01-01 08:00:00,0,50
2026-01-01 09:00:00,2,42
2026-01-01 10:00:00,0,65
2026-01-01 11:00:00,1,77
2026-01-01 12:00:00,2,65
2026-01-01 13:00:00,0,81
2026-01-01 14:00:00,2,91
2026-01-01 15:00:00,1,49
2026-01-01 16:00:00,2,45
2026-01-01 17:00:00,2,77
2026-01-01 18:00:00,0,43
2026-01-01 19:00:00,1,88
2026-01-01 20:00:00,2,48
2026-01-01 21:00:00,2,94
2026-01-01 22:00:00,2,92
2026-01-01 23:00:00,1,49
2026-01-02 00:00:00,2,47
2026-01-02 01:00:00,1,56
2026-01-02 02:00:00,2,68
2026-01-02 03:00:00,2,81
2026-01-02 04:00:00,2,80
2026-01-02 05:00:00,0,78
2026-01-02 06:00:00,1,62
2026-01-02 07:00:00,0,70
2026-01-02 08:00:00,0,46
2026-01-02 09:00:00,2,54
2026-01-02 10:00:00,1,75
2026-01-02 11:00:00,2,84
2026-01-02 12:00:00,0,67
2026-01-02 13:00:00,0,87
2026-01-02 14:00:00,0,87
2026-01-02 15:00:00,0,81
2026-01-02 16:00:00,2,87
2026-01-02 17:00:00,1,88
2026-01-02 18:00:00,1,47
2026-01-02 19:00:00,1,52
2026-01-02 20:00:00,0,85
2026-01-02 21:00:00,0,41
2026-01-02 22:00:00,1,46
2026-01-02 23:00:00,1,57
2026-01-03 00:00:00,1,42
2026-01-03 01:00:00,2,43
2026-01-03 02:00:00,0,63
2026-01-03 03:00:00,0,85
2026-01-03 04:00:00,1,81
2026-01-03 05:00:00,0,71
2026-01-03 06:00:00,0,59
2026-01-03 07:00:00,0,57
2026-01-03 08:00:00,2,74
2026-01-03 09:00:00,1,60
2026-01-03 10:00:00,2,46
2026-01-03 11:00:00,1,81
2026-01-03 12:00:00,2,77
2026-01-03 13:00:00,2,61
2026-01-03 14:00:00,2,72
2026-01-03 15:00:00,2,54
2026-01-03 16:00:00,2,79
2026-01-03 17:00:00,0,82
2026-01-03 18:00:00,2,58
2026-01-03 19:00:00,1,57
2026-01-03 20:00:00,0,74
2026-01-03 21:00:00,0,47
2026-01-03 22:00:00,2,71
2026-01-03 23:00:00,0,48
2026-01-04 00:00:00,0,52
2026-01-04 01:00:00,0,88
2026-01-04 02:00:00,2,71
2026-01-04 03:00:00,0,79
2026-01-04 04:00:00,1,55
2026-01-04 05:00:00,1,65
2026-01-04 06:00:00,1,77
2026-01-04 07:00:00,0,45
2026-01-04 08:00:00,1,50
2026-01-04 09:00:00,0,87
2026-01-04 10:00:00,0,91
2026-01-04 11:00:00,1,68
2026-01-04 12:00:00,2,63
2026-01-04 13:00:00,1,78
2026-01-04 14:00:00,2,93
2026-01-04 15:00:00,1,45
2026-01-04 16:00:00,1,44
2026-01-04 17:00:00,2,79
2026-01-04 18:00:00,2,80
2026-01-04 19:00:00,2,80
2026-01-04 20:00:00,1,83
2026-01-04 21:00:00,2,76
2026-01-04 22:00:00,2,44
2026-01-04 23:00:00,1,66
2026-01-05 00:00:00,1,81
2026-01-05 01:00:00,1,94
2026-01-05 02:00:00,1,86
2026-01-05 03:00:00,0,83
